time(s),Lead_I
0.4980,0.11331754
0.5000,0.08808379
0.5020,-0.00021601
0.5040,0.02793066
0.5060,-0.17966224
0.5080,-0.11824054
0.5100,-0.00697622
0.5120,-0.17330895
0.5140,0.05176399
0.5160,0.36490139
0.5180,-0.01100429
0.5200,0.09586357
0.5220,-0.13151520
0.5240,-0.14370900
0.5260,0.06556002
0.5280,-0.06809799
0.5300,0.15111561
0.5320,0.20329376
0.5340,0.08964286
0.5360,-0.05949730
0.5380,0.20292565
0.5400,-0.28874835
0.5420,0.17552285
0.5440,0.08064375
0.5460,0.09950910
0.5480,0.08386780
0.5500,0.18979716
0.5520,-0.01141348
0.5540,-0.01761171
0.5560,0.18760674
0.5580,-0.15117259
0.5600,-0.09738640
0.5620,0.20659725
0.5640,0.14864592
0.5660,0.01558178
0.5680,0.07311808
0.5700,0.14213261
0.5720,-0.14893888
0.5740,-0.01579895
0.5760,0.03515738
0.5780,0.02803689
0.5800,0.05246699
0.5820,0.02375376
0.5840,0.03478942
0.5860,0.19273162
0.5880,-0.27207795
0.5900,-0.00656038
0.5920,0.01949335
0.5940,-0.05226145
0.5960,-0.05127072
0.5980,-0.10279847
0.6000,-0.04406593
0.6020,-0.06644789
0.6040,0.04630883
0.6060,-0.07380448
0.6080,-0.02795183
0.6100,-0.06921975
0.6120,-0.11804468
0.6140,-0.10140323
0.6160,0.13361545
0.6180,-0.01894813
0.6200,0.06041618
0.6220,-0.08315868
0.6240,-0.18802984
0.6260,-0.05954812
0.6280,-0.03790943
0.6300,0.03622490
0.6320,0.09972578
0.6340,0.02927552
0.6360,-0.07704262
0.6380,-0.10801337
0.6400,-0.12669073
0.6420,-0.02165381
0.6440,0.07453936
0.6460,0.06742420
0.6480,0.14614296
0.6500,0.36160022
0.6520,-0.09599131
0.6540,-0.48266637
0.6560,-0.16626605
0.6580,-0.02629563
0.6600,0.01268548
0.6620,0.20519090
0.6640,0.21683933
0.6660,-0.13998389
0.6680,0.20987912
0.6700,0.02263274
0.6720,0.13684995
0.6740,-0.05684878
0.6760,-0.08368187
0.6780,0.03938352
0.6800,0.11040275
0.6820,0.13091297
0.6840,0.08669069
0.6860,-0.04698867
0.6880,0.00968520
0.6900,-0.02416081
0.6920,-0.35842523
0.6940,-0.20619094
0.6960,-0.01961998
0.6980,-0.19749056
0.7000,-0.28188112
0.7020,-0.28917432
0.7040,-0.19531336
0.7060,-0.20047997
0.7080,-0.04195597
0.7100,-0.24260344
0.7120,-0.08031725
0.7140,0.01149815
0.7160,-0.27244580
0.7180,-0.27019596
0.7200,-0.01367278
0.7220,-0.06878722
0.7240,0.09039922
0.7260,0.31776854
0.7280,0.09371336
0.7300,0.09809846
0.7320,0.11237862
0.7340,0.36979479
0.7360,0.32060269
0.7380,0.48906514
0.7400,0.45114025
0.7420,0.21054167
0.7440,0.03824621
0.7460,-0.30927238
0.7480,-0.20156862
0.7500,-0.40118217
0.7520,-0.19307277
0.7540,-0.31238911
0.7560,0.18854441
0.7580,0.06716593
0.7600,0.10831994
0.7620,-0.09541003
0.7640,-0.29122150
0.7660,0.08884557
0.7680,-0.17134394
0.7700,-0.01886803
0.7720,-0.13844068
0.7740,0.15393275
0.7760,-0.00965212
0.7780,0.14084633
0.7800,0.05947582
0.7820,0.15926075
0.7840,-0.23338644
0.7860,-0.25168917
0.7880,0.11173037
0.7900,0.07605179
0.7920,-0.05756014
0.7940,-0.27873340
0.7960,-0.16448702
0.7980,0.01997411
0.8000,-0.10107259
0.8020,-0.41669619
0.8040,-0.21599808
0.8060,-0.14044172
0.8080,-0.10950714
0.8100,-0.11517271
0.8120,-0.08103551
0.8140,-0.14632547
0.8160,-0.04941178
0.8180,-0.34481174
0.8200,-0.06413057
0.8220,0.04525417
0.8240,0.30849081
0.8260,0.25952217
0.8280,0.10514741
0.8300,0.19137387
0.8320,0.25631154
0.8340,-0.00742927
0.8360,-0.00792800
0.8380,-0.22259870
0.8400,-0.18326342
0.8420,-0.27493942
0.8440,-0.15601498
0.8460,-0.20267913
0.8480,-0.03896341
0.8500,-0.12218468
0.8520,0.03819639
0.8540,0.20009044
0.8560,0.07315990
0.8580,0.01908697
0.8600,0.17537515
0.8620,0.08096325
0.8640,-0.03820161
0.8660,0.31544945
0.8680,-0.21767670
0.8700,0.24209216
0.8720,-0.15130615
0.8740,-0.02342561
0.8760,-0.36980259
0.8780,-0.17203873
0.8800,0.14773150
0.8820,0.41971165
0.8840,0.17383759
0.8860,-0.01199961
0.8880,-0.37722331
0.8900,-0.15530890
0.8920,-0.05044582
0.8940,-0.04223193
0.8960,0.17814142
0.8980,0.23919052
0.9000,-0.20413451
0.9020,-0.09863835
0.9040,0.04810437
0.9060,-0.20609237
0.9080,-0.05707492
0.9100,-0.03238415
0.9120,0.15406007
0.9140,0.03469977
0.9160,-0.03584873
0.9180,-0.01855147
0.9200,-0.20658009
0.9220,-0.29031476
0.9240,-0.17878637
0.9260,-0.06038759
0.9280,-0.06812186
0.9300,-0.12749143
0.9320,-0.22728899
0.9340,-0.33581099
0.9360,-0.21797091
0.9380,0.13730535
0.9400,0.06082721
0.9420,0.09680397
0.9440,0.02133300
0.9460,0.10349113
0.9480,0.25101107
0.9500,0.15782700
0.9520,0.20018053
0.9540,0.40084082
0.9560,0.17353103
0.9580,0.21935391
0.9600,-0.02375205
0.9620,-0.05183160
0.9640,0.18194343
0.9660,0.25663823
0.9680,-0.00668372
0.9700,-0.08329806
0.9720,-0.04116174
0.9740,-0.04870426
0.9760,0.28213364
0.9780,-0.02138614
0.9800,-0.20111455
0.9820,0.20744340
0.9840,0.07127444
0.9860,0.20444167
0.9880,-0.07374300
0.9900,0.08355371
0.9920,0.09658383
0.9940,-0.06409234
0.9960,-0.00374887
0.9980,-0.20561628
1.0000,-0.10828194
1.0020,-0.15610763
1.0040,-0.07129005
1.0060,0.12860481
1.0080,-0.20887516
1.0100,0.07729109
1.0120,0.13886711
1.0140,0.20160277
1.0160,-0.04358054
1.0180,-0.50256246
1.0200,-0.20997697
1.0220,-0.37736636
1.0240,-0.00133525
1.0260,-0.14438163
1.0280,0.01582360
1.0300,0.14740658
1.0320,-0.04832759
1.0340,0.07801130
1.0360,0.08415563
1.0380,0.03237098
1.0400,0.20214579
1.0420,-0.05657649
1.0440,-0.05596726
1.0460,-0.01716834
1.0480,0.14588945
1.0500,-0.27743465
1.0520,-0.05509821
1.0540,0.02648696
1.0560,0.39791867
1.0580,-0.04471454
1.0600,-0.13117833
1.0620,-0.15683305
1.0640,-0.09628382
1.0660,-0.01122834
1.0680,-0.04250770
1.0700,-0.13629292
1.0720,-0.10637737
1.0740,-0.05032846
1.0760,-0.03349387
1.0780,-0.12629513
1.0800,0.02743720
1.0820,0.14111166
1.0840,0.05504682
1.0860,0.13643733
1.0880,0.13508222
1.0900,0.32086301
1.0920,0.13588616
1.0940,0.02808818
1.0960,0.01987729
1.0980,-0.19506741
1.1000,-0.29406539
1.1020,-0.11464714
1.1040,-0.02152353
1.1060,0.14055847
1.1080,0.10768782
1.1100,0.23949546
1.1120,0.23452589
1.1140,-0.22396530
1.1160,0.03545019
1.1180,0.00338995
1.1200,-0.09872091
1.1220,-0.21049853
1.1240,-0.39617854
1.1260,-0.27055007
1.1280,-0.16475610
1.1300,0.09154107
1.1320,-0.17019419
1.1340,0.25756347
1.1360,0.20763776
1.1380,-0.13846071
1.1400,-0.20778236
1.1420,0.06158533
1.1440,0.00183450
1.1460,0.07142498
1.1480,0.41843212
1.1500,0.20082065
1.1520,0.22982769
1.1540,0.13754813
1.1560,-0.19407527
1.1580,-0.01976276
1.1600,-0.12319554
1.1620,0.02240209
1.1640,-0.04763608
1.1660,-0.09800061
1.1680,0.28362828
1.1700,-0.19385144
1.1720,-0.60669130
1.1740,-0.23056284
1.1760,-0.19214195
1.1780,-0.11162008
1.1800,-0.64619815
1.1820,-0.23663503
1.1840,-0.34418756
1.1860,-0.25161365
1.1880,0.00247560
1.1900,0.61838377
1.1920,0.35916838
1.1940,0.50015396
1.1960,0.36441937
1.1980,0.58975095
1.2000,0.27691379
1.2020,0.76446348
1.2040,0.32601482
1.2060,0.32364532
1.2080,0.19552283
1.2100,0.02475253
1.2120,0.02707046
1.2140,-0.20374444
1.2160,-0.30653223
1.2180,-0.34415016
1.2200,-0.42381328
1.2220,-0.23408632
1.2240,-0.08408862
1.2260,-0.05180994
1.2280,0.04580080
1.2300,-0.14106755
1.2320,-0.03266003
1.2340,-0.08843968
1.2360,0.00758659
1.2380,-0.13061206
1.2400,0.01506130
1.2420,-0.02746757
1.2440,0.13230981
1.2460,0.12423723
1.2480,0.14414896
1.2500,0.28517681
1.2520,0.07681400
1.2540,0.22254452
1.2560,0.18177006
1.2580,-0.09187411
1.2600,0.15875134
1.2620,0.24730331
1.2640,-0.18876706
1.2660,0.00367379
1.2680,-0.03368948
1.2700,-0.11569073
1.2720,0.04163316
1.2740,-0.03779845
1.2760,-0.09489559
1.2780,-0.13478847
1.2800,0.06645882
1.2820,0.10276702
1.2840,0.11329887
1.2860,0.16974834
1.2880,0.05427282
1.2900,-0.30820400
1.2920,0.07926866
1.2940,0.11077543
1.2960,0.04071406
1.2980,-0.01349415
1.3000,-0.07745394
1.3020,0.14023428
1.3040,-0.12776089
1.3060,0.07239740
1.3080,0.18585616
1.3100,0.11477523
1.3120,-0.00578688
1.3140,-0.06865572
1.3160,-0.01204762
1.3180,0.11914488
1.3200,0.02049753
1.3220,0.18895540
1.3240,-0.06971082
1.3260,0.11550558
1.3280,0.01001644
1.3300,0.23024435
1.3320,-0.02825605
1.3340,-0.13286926
1.3360,0.24391837
1.3380,-0.02315518
1.3400,0.18897814
1.3420,0.20422731
1.3440,-0.12089118
1.3460,-0.02352180
1.3480,0.43953726
1.3500,-0.02496993
1.3520,-0.02262800
1.3540,-0.03693562
1.3560,0.06169223
1.3580,0.18017721
1.3600,-0.00161265
1.3620,0.14026161
1.3640,0.15308394
1.3660,-0.04231716
1.3680,-0.13418543
1.3700,0.19911863
1.3720,0.00633893
1.3740,0.22223157
1.3760,-0.00091097
1.3780,-0.15935180
1.3800,0.08401742
1.3820,-0.01796826
1.3840,0.09210236
1.3860,0.11214834
1.3880,-0.05233394
1.3900,-0.03432360
1.3920,-0.20741244
1.3940,0.07762042
1.3960,-0.11329096
1.3980,0.02202510
1.4000,0.09495953
1.4020,-0.07106195
1.4040,-0.08144291
1.4060,-0.07226017
1.4080,-0.06092917
1.4100,-0.05970342
1.4120,-0.05702545
1.4140,-0.01774239
1.4160,-0.20480552
1.4180,-0.23055737
1.4200,-0.10683435
1.4220,-0.07876576
1.4240,-0.19328004
1.4260,0.06289206
1.4280,-0.06873937
1.4300,-0.12209129
1.4320,-0.18322138
1.4340,0.08119600
1.4360,-0.09285869
1.4380,0.09871680
1.4400,0.02205261
1.4420,0.31905150
1.4440,0.09513271
1.4460,0.14845328
1.4480,-0.07707106
1.4500,0.01967848
1.4520,-0.17351101
1.4540,-0.33671522
1.4560,-0.30240086
1.4580,-0.04736516
1.4600,0.07299418
1.4620,-0.09480066
1.4640,-0.14528435
1.4660,0.17570470
1.4680,0.11366539
1.4700,-0.20484546
1.4720,-0.28168619
1.4740,-0.07505481
1.4760,0.02494510
1.4780,0.02989818
1.4800,-0.09196410
1.4820,-0.06183453
1.4840,-0.00321234
1.4860,-0.34188515
1.4880,-0.21893565
1.4900,-0.14642301
1.4920,-0.17394258
1.4940,-0.05422220
1.4960,0.13757706
1.4980,0.06273832
1.5000,0.34382996
1.5020,-0.24264315
1.5040,-0.38303620
1.5060,-0.35134032
1.5080,-0.39903137
1.5100,-0.15368429
1.5120,-0.22991470
1.5140,-0.05995040
1.5160,0.03669835
1.5180,-0.06419889
1.5200,0.18372551
1.5220,0.15386909
1.5240,-0.07944731
1.5260,0.05255571
1.5280,0.15799634
1.5300,-0.04687621
1.5320,0.02652363
1.5340,0.03678277
1.5360,0.18490425
1.5380,-0.00698634
1.5400,0.06730660
1.5420,-0.23931104
1.5440,-0.03959051
1.5460,-0.01306308
1.5480,0.02785889
1.5500,-0.01675300
1.5520,-0.02893404
1.5540,-0.18335477
1.5560,0.23662938
1.5580,0.17882533
1.5600,-0.27452973
1.5620,-0.19025384
1.5640,-0.02408328
1.5660,-0.07084633
1.5680,-0.15123279
1.5700,-0.15998541
1.5720,-0.14364888
1.5740,-0.06473962
1.5760,0.04606673
1.5780,-0.08475389
1.5800,-0.22677538
1.5820,-0.15235645
1.5840,-0.09682597
1.5860,-0.16737321
1.5880,-0.04899130
1.5900,0.16216815
1.5920,0.19901054
1.5940,-0.27211151
1.5960,0.06113969
1.5980,0.03589639
1.6000,-0.17703064
1.6020,0.12823898
1.6040,0.12995270
1.6060,-0.22955677
1.6080,-0.01212884
1.6100,0.12384417
1.6120,0.01697285
1.6140,0.14134546
1.6160,0.27291858
1.6180,-0.08812536
1.6200,-0.05446102
1.6220,-0.16514003
1.6240,0.12874733
1.6260,0.00154691
1.6280,-0.15069346
1.6300,0.07943922
1.6320,0.01476684
1.6340,-0.03970544
1.6360,0.21683145
1.6380,0.11759621
1.6400,0.14126050
1.6420,-0.06762298
1.6440,0.11831088
1.6460,-0.12149302
1.6480,-0.05793475
1.6500,-0.09363081
1.6520,-0.24904118
1.6540,0.08118025
1.6560,-0.19099115
1.6580,-0.15115395
1.6600,0.05179020
1.6620,-0.01594430
1.6640,0.06568675
1.6660,-0.08933552
1.6680,-0.05951251
1.6700,-0.34187785
1.6720,-0.50173521
1.6740,0.19830880
1.6760,0.18428591
1.6780,0.02675917
1.6800,0.24593128
1.6820,-0.38579524
1.6840,0.07087110
1.6860,0.14431618
1.6880,0.18971224
1.6900,0.33526593
1.6920,0.19476859
1.6940,0.68328047
1.6960,0.29563418
1.6980,-0.12884732
1.7000,-0.14806576
1.7020,-0.28320864
1.7040,-0.07755837
1.7060,0.05143717
1.7080,0.04517999
1.7100,-0.08929789
1.7120,-0.00236679
1.7140,-0.24568860
1.7160,0.23640303
1.7180,0.07542227
1.7200,0.11008036
1.7220,0.54386121
1.7240,0.31001356
1.7260,-0.04539290
1.7280,-0.00599002
1.7300,-0.25835747
1.7320,-0.28068390
1.7340,-0.39449155
1.7360,-0.12194230
1.7380,-0.02223453
1.7400,-0.13014440
1.7420,0.10551424
1.7440,-0.13128011
1.7460,0.01820844
1.7480,0.10884764
1.7500,-0.03137480
1.7520,0.41870657
1.7540,0.24708526
1.7560,0.19208759
1.7580,-0.16596483
1.7600,-0.42681104
1.7620,-0.21020603
1.7640,0.04632873
1.7660,-0.25585240
1.7680,0.20747955
1.7700,0.37050718
1.7720,-0.08852322
1.7740,-0.57386672
1.7760,-0.32958689
1.7780,-0.11576211
1.7800,0.19412845
1.7820,0.12445152
1.7840,0.49888608
1.7860,0.43974572
1.7880,0.09899149
1.7900,0.36775219
1.7920,0.22798663
1.7940,0.32917887
1.7960,0.19334316
1.7980,-0.00586140
1.8000,0.13597310
1.8020,-0.46504766
1.8040,-0.02688688
1.8060,-0.26406401
1.8080,-0.05708650
1.8100,-0.17118427
1.8120,-0.11339259
1.8140,-0.20984648
1.8160,-0.36139733
1.8180,-0.36177999
1.8200,-0.63036853
1.8220,0.13530229
1.8240,-0.16683130
1.8260,0.21758306
1.8280,0.01126089
1.8300,-0.56243777
1.8320,-0.25088897
1.8340,-0.10470188
1.8360,0.50062305
1.8380,0.54071915
1.8400,0.59924418
1.8420,0.59589148
1.8440,0.43726307
1.8460,0.59660411
1.8480,0.33952329
1.8500,0.23739412
1.8520,0.33756405
1.8540,0.08572420
1.8560,-0.37104291
1.8580,-0.45923805
1.8600,-0.36001623
1.8620,0.01788003
1.8640,-0.18715525
1.8660,-0.18029040
1.8680,0.25849196
1.8700,0.00287348
1.8720,-0.02964530
1.8740,-0.16384897
1.8760,-0.13763167
1.8780,-0.03250838
1.8800,-0.01144363
1.8820,0.44660181
1.8840,0.07847036
1.8860,0.45811042
1.8880,0.35006565
1.8900,-0.09940852
1.8920,-0.12315612
1.8940,-0.12303456
1.8960,0.31379324
1.8980,-0.05978031
1.9000,-0.20470673
1.9020,-0.02800227
1.9040,-0.14554618
1.9060,0.06861567
1.9080,-0.11804406
1.9100,-0.35609895
1.9120,0.09674831
1.9140,-0.03182477
1.9160,0.03271643
1.9180,0.09454249
1.9200,0.03364566
1.9220,0.16329154
1.9240,0.09173472
1.9260,-0.33195582
1.9280,-0.09826755
1.9300,0.17671695
1.9320,-0.06665578
1.9340,-0.05852819
1.9360,0.08379393
1.9380,0.19726364
1.9400,-0.00249750
1.9420,0.14828417
1.9440,0.01973580
1.9460,-0.00086187
1.9480,0.02222993
1.9500,0.05530136
1.9520,0.23256692
1.9540,-0.08131468
1.9560,0.09033690
1.9580,0.16301367
1.9600,0.04900714
1.9620,-0.02285225
1.9640,0.15094508
1.9660,0.17454715
1.9680,0.01930971
1.9700,-0.13536954
1.9720,0.22609712
1.9740,0.04022996
1.9760,0.09355818
1.9780,0.23240231
1.9800,0.07114629
1.9820,0.09941847
1.9840,0.12521835
1.9860,0.32744747
1.9880,0.08832367
1.9900,0.03235526
1.9920,0.01981905
1.9940,0.21263158
1.9960,0.10413283
1.9980,0.07405479
2.0000,-0.09513363
2.0020,-0.08146407
2.0040,0.28476298
2.0060,0.06814051
2.0080,0.06027247
2.0100,0.14164038
2.0120,0.04057396
2.0140,-0.04463435
2.0160,-0.16251972
2.0180,-0.00037841
2.0200,0.00044012
2.0220,-0.02141885
2.0240,0.02545727
2.0260,0.04105474
2.0280,-0.12187353
2.0300,-0.22028832
2.0320,0.14662246
2.0340,0.07750898
2.0360,-0.15413077
2.0380,-0.07858836
2.0400,-0.13325189
2.0420,-0.18355036
2.0440,-0.38456818
2.0460,0.14884707
2.0480,0.01755343
2.0500,0.03487014
2.0520,-0.22947063
2.0540,-0.17967021
2.0560,0.00488276
2.0580,-0.40314311
2.0600,0.01609298
2.0620,0.13631125
2.0640,0.22332439
2.0660,-0.12738325
2.0680,-0.03670165
2.0700,0.26879302
2.0720,0.18318981
2.0740,-0.00138372
2.0760,0.26111141
2.0780,0.25927252
2.0800,0.34659970
2.0820,0.02252971
2.0840,-0.06706249
2.0860,0.20558964
2.0880,0.01048031
2.0900,0.22310944
2.0920,0.05018918
2.0940,0.15240401
2.0960,-0.06206730
2.0980,0.23446940
2.1000,0.08266125
2.1020,0.21726632
2.1040,-0.09288379
2.1060,0.13571559
2.1080,0.13177349
2.1100,-0.10571564
2.1120,0.05208832
2.1140,0.18425910
2.1160,-0.15999492
2.1180,0.06073630
2.1200,0.01839127
2.1220,0.17286146
2.1240,0.16296072
2.1260,0.02984599
2.1280,-0.23909028
2.1300,-0.11672233
2.1320,-0.08359847
2.1340,-0.03967291
2.1360,-0.11233903
2.1380,0.04532535
2.1400,-0.10831156
2.1420,-0.09274375
2.1440,-0.21146588
2.1460,-0.12806079
2.1480,-0.05081702
2.1500,-0.11153942
2.1520,0.25502744
2.1540,0.01712281
2.1560,-0.06490170
2.1580,-0.05478602
2.1600,0.06608380
2.1620,0.36845782
2.1640,0.29595789
2.1660,0.02101750
2.1680,0.03623828
2.1700,-0.06202450
2.1720,-0.12655933
2.1740,-0.34799850
2.1760,-0.01608534
2.1780,-0.07631367
2.1800,-0.09624355
2.1820,0.47380856
2.1840,-0.18104313
2.1860,-0.03231213
2.1880,-0.00237676
2.1900,-0.06333911
2.1920,-0.15476730
2.1940,0.26260304
2.1960,0.38868284
2.1980,0.57852113
2.2000,0.08116753
2.2020,-0.41802081
2.2040,-0.57976002
2.2060,-0.26454327
2.2080,0.16624337
2.2100,0.08904899
2.2120,-0.31992862
2.2140,0.01371997
2.2160,-0.24787204
2.2180,-0.51767349
2.2200,0.01065206
2.2220,0.26714039
2.2240,-0.19372694
2.2260,-0.07804190
2.2280,-0.23800439
2.2300,-0.57493114
2.2320,-0.52321619
2.2340,-0.18951599
2.2360,-0.31557757
2.2380,0.16640948
2.2400,-0.06488210
2.2420,0.44122678
2.2440,0.22303446
2.2460,0.11512578
2.2480,-0.00168997
2.2500,-0.26644665
2.2520,0.16738831
2.2540,-0.10463104
2.2560,0.42106092
2.2580,0.17833431
2.2600,-0.02092326
2.2620,0.03493085
2.2640,0.13255230
2.2660,-0.50548559
2.2680,-0.34843367
2.2700,-0.38104561
2.2720,-0.13892217
2.2740,-0.22722283
2.2760,-0.30097994
2.2780,-0.50311148
2.2800,0.15108095
2.2820,-0.03804027
2.2840,0.15141314
2.2860,0.36348426
2.2880,0.31011409
2.2900,0.17503390
2.2920,0.04143436
2.2940,0.20922399
2.2960,0.11151310
2.2980,-0.04788829
2.3000,-0.03619837
2.3020,0.41099033
2.3040,-0.00264229
2.3060,0.15292108
2.3080,-0.09690783
2.3100,0.01652674
2.3120,-0.22766404
2.3140,-0.17748691
2.3160,-0.09477445
2.3180,0.09128532
2.3200,-0.14929207
2.3220,0.50248629
2.3240,0.05625593
2.3260,0.12799604
2.3280,-0.12259339
2.3300,0.04881068
2.3320,-0.13902868
2.3340,-0.05072312
2.3360,-0.16571604
2.3380,-0.36489055
2.3400,-0.09241803
2.3420,-0.24738459
2.3440,0.11621530
2.3460,0.36968496
2.3480,-0.09132543
2.3500,-0.09351019
2.3520,-0.09308676
2.3540,-0.02395885
2.3560,-0.08247840
2.3580,0.05390650
2.3600,-0.11049930
2.3620,-0.08648021
2.3640,0.04436598
2.3660,0.28441378
2.3680,0.01239257
2.3700,0.15999213
2.3720,0.12745935
2.3740,0.05445416
2.3760,-0.02552295
2.3780,-0.10246386
2.3800,0.04761327
2.3820,0.14227045
2.3840,-0.09054836
2.3860,-0.38034996
2.3880,-0.41209462
2.3900,-0.06599484
2.3920,0.00950981
2.3940,0.03100797
2.3960,-0.04651142
2.3980,-0.03483626
2.4000,0.06794417
2.4020,0.13092695
2.4040,-0.24995577
2.4060,-0.07022250
2.4080,-0.38062578
2.4100,-0.30072907
2.4120,0.04985905
2.4140,0.02129411
2.4160,-0.11928794
2.4180,-0.34935701
2.4200,-0.40044844
2.4220,-0.05541080
2.4240,0.39958888
